QueryID,Category,Query,Model,Type,Experiment,Prec@5,Recall@5,Avg_Sim,MRR@5,nDCG@5,Quality
Q13,Surgery,"What complications like anastomotic leak, bleeding, DVT, and bowe…",e5-large,general,A,1.0,0.455,0.8779,0.457,1.0,0.8189
Q14,Internal Med,What were the key 2-D M-mode and Doppler findings in an echocardi…,e5-large,general,A,1.0,0.417,0.878,0.457,1.0,0.8189
Q15,Internal Med,Describe the left ventricular findings in a hyperdynamic echocard…,e5-large,general,A,0.8,0.364,0.8775,0.508,0.983,0.7637
Q16,Internal Med,"In an echo report, what valve abnormalities and pressures were no…",e5-large,general,A,1.0,0.385,0.8631,0.457,1.0,0.8189
Q17,Internal Med,What normal findings were reported in an echocardiogram with no p…,e5-large,general,A,1.0,0.417,0.8866,0.457,1.0,0.8189
Q18,Internal Med,For a patient with mild tricuspid regurgitation and right heart p…,e5-large,general,A,1.0,0.5,0.8619,0.457,1.0,0.8189
Q19,Surgery,What procedure details and anesthesia were used in a liposuction …,e5-large,general,A,0.8,0.333,0.8676,0.521,1.0,0.7736
Q20,Surgery,In a suction-assisted lipectomy for abdominal and thigh lipodystr…,e5-large,general,A,1.0,0.5,0.8661,0.457,1.0,0.8189
Q21,Cross-spec,Compare the ejection fraction and chamber sizes reported across d…,e5-large,general,A,0.8,0.4,0.8425,0.446,0.905,0.7169
Q22,Cross-spec,"What common comorbidities (asthma, diabetes, sleep apnea) appear …",e5-large,general,A,1.0,0.385,0.8467,0.457,1.0,0.8189
Q23,Cross-spec,Describe any mention of allergy testing (RAST) or EpiPen prescrip…,e5-large,general,A,0.6,0.273,0.8508,0.567,0.947,0.7045
Q24,Cross-spec,"What physical exam findings (wheezing, edema, vital signs) were d…",e5-large,general,A,0.6,0.25,0.8452,0.567,0.947,0.7045
Q25,Cross-spec,"In cases involving anastomosis (gastric bypass or other), what te…",e5-large,general,A,0.8,0.333,0.8387,0.521,1.0,0.7736
Q01,Allergy/ENT,What treatments were recommended for a patient with allergic rhin…,GTE-Large,general,A,0.8,0.444,0.864,0.487,0.956,0.7478
Q02,Allergy/ENT,Describe the physical exam findings in the nose and throat for a …,GTE-Large,general,A,0.6,0.273,0.8713,0.528,0.906,0.6779
Q03,Allergy/ENT,What nasal spray samples and alternative oral medication were sug…,GTE-Large,general,A,0.8,0.364,0.8633,0.487,0.956,0.7478
Q04,Allergy/ENT,"For a patient with chronic sinusitis, facial pain, postnasal drip…",GTE-Large,general,A,1.0,0.455,0.8749,0.457,1.0,0.8189
Q05,Allergy/ENT,What history and recommendations were given for a 55-year-old fem…,GTE-Large,general,A,0.6,0.25,0.8792,0.611,1.0,0.737
Q06,Internal Med,"In a case of Kawasaki disease in a 14-month-old, what discharge m…",GTE-Large,general,A,0.6,0.375,0.8723,0.567,0.947,0.7045
Q07,Allergy/ENT,What symptoms and plan were documented for a 42-year-old woman wi…,GTE-Large,general,A,0.8,0.333,0.8596,0.521,1.0,0.7736
Q08,Surgery,What surgical steps were described in a laparoscopic antecolic an…,GTE-Large,general,A,1.0,0.417,0.8775,0.457,1.0,0.8189
Q09,Surgery,"For a 42-year-old male weighing 344 pounds with BMI 51, sleep apn…",GTE-Large,general,A,1.0,0.333,0.8722,0.457,1.0,0.8189
Q10,Surgery,Describe the eating history and weight loss attempts of a single …,GTE-Large,general,A,1.0,0.385,0.8889,0.457,1.0,0.8189
Q11,Surgery,What port placement and bowel division technique was used in a 30…,GTE-Large,general,A,1.0,0.455,0.8703,0.457,1.0,0.8189
Q12,Surgery,"In a bariatric consult, what family history, social habits, and r…",GTE-Large,general,A,0.8,0.308,0.8717,0.521,1.0,0.7736
Q13,Surgery,"What complications like anastomotic leak, bleeding, DVT, and bowe…",GTE-Large,general,A,1.0,0.455,0.8816,0.457,1.0,0.8189
Q14,Internal Med,What were the key 2-D M-mode and Doppler findings in an echocardi…,GTE-Large,general,A,1.0,0.417,0.8911,0.457,1.0,0.8189
Q15,Internal Med,Describe the left ventricular findings in a hyperdynamic echocard…,GTE-Large,general,A,0.8,0.364,0.8734,0.508,0.983,0.7637
Q16,Internal Med,"In an echo report, what valve abnormalities and pressures were no…",GTE-Large,general,A,1.0,0.385,0.9004,0.457,1.0,0.8189
Q17,Internal Med,What normal findings were reported in an echocardiogram with no p…,GTE-Large,general,A,1.0,0.417,0.8925,0.457,1.0,0.8189
Q18,Internal Med,For a patient with mild tricuspid regurgitation and right heart p…,GTE-Large,general,A,1.0,0.5,0.869,0.457,1.0,0.8189
Q19,Surgery,What procedure details and anesthesia were used in a liposuction …,GTE-Large,general,A,1.0,0.417,0.8887,0.457,1.0,0.8189
Q20,Surgery,In a suction-assisted lipectomy for abdominal and thigh lipodystr…,GTE-Large,general,A,1.0,0.5,0.8913,0.457,1.0,0.8189
Q21,Cross-spec,Compare the ejection fraction and chamber sizes reported across d…,GTE-Large,general,A,0.8,0.4,0.8449,0.521,1.0,0.7736
Q22,Cross-spec,"What common comorbidities (asthma, diabetes, sleep apnea) appear …",GTE-Large,general,A,1.0,0.385,0.847,0.457,1.0,0.8189
Q23,Cross-spec,Describe any mention of allergy testing (RAST) or EpiPen prescrip…,GTE-Large,general,A,0.6,0.273,0.8651,0.611,1.0,0.737
Q24,Cross-spec,"What physical exam findings (wheezing, edema, vital signs) were d…",GTE-Large,general,A,0.4,0.167,0.8637,0.667,0.92,0.6621
Q25,Cross-spec,"In cases involving anastomosis (gastric bypass or other), what te…",GTE-Large,general,A,0.8,0.333,0.8722,0.487,0.956,0.7478
Q01,Allergy/ENT,What treatments were recommended for a patient with allergic rhin…,PubMedBERT,medical,A,1.0,0.556,0.6376,0.457,1.0,0.8189
Q02,Allergy/ENT,Describe the physical exam findings in the nose and throat for a …,PubMedBERT,medical,A,0.6,0.273,0.6547,0.317,0.68,0.5321
Q03,Allergy/ENT,What nasal spray samples and alternative oral medication were sug…,PubMedBERT,medical,A,1.0,0.455,0.5587,0.457,1.0,0.8189
Q04,Allergy/ENT,"For a patient with chronic sinusitis, facial pain, postnasal drip…",PubMedBERT,medical,A,0.8,0.364,0.7035,0.508,0.983,0.7637
Q05,Allergy/ENT,What history and recommendations were given for a 55-year-old fem…,PubMedBERT,medical,A,0.6,0.25,0.7164,0.611,1.0,0.737
Q06,Internal Med,"In a case of Kawasaki disease in a 14-month-old, what discharge m…",PubMedBERT,medical,A,0.2,0.125,0.6382,1.0,1.0,0.7333
Q07,Allergy/ENT,What symptoms and plan were documented for a 42-year-old woman wi…,PubMedBERT,medical,A,0.8,0.333,0.6683,0.521,1.0,0.7736
Q08,Surgery,What surgical steps were described in a laparoscopic antecolic an…,PubMedBERT,medical,A,1.0,0.417,0.6785,0.457,1.0,0.8189
Q09,Surgery,"For a 42-year-old male weighing 344 pounds with BMI 51, sleep apn…",PubMedBERT,medical,A,0.8,0.267,0.6848,0.521,1.0,0.7736
Q10,Surgery,Describe the eating history and weight loss attempts of a single …,PubMedBERT,medical,A,1.0,0.385,0.7413,0.457,1.0,0.8189
Q11,Surgery,What port placement and bowel division technique was used in a 30…,PubMedBERT,medical,A,1.0,0.455,0.6287,0.457,1.0,0.8189
Q12,Surgery,"In a bariatric consult, what family history, social habits, and r…",PubMedBERT,medical,A,1.0,0.385,0.6636,0.457,1.0,0.8189
Q13,Surgery,"What complications like anastomotic leak, bleeding, DVT, and bowe…",PubMedBERT,medical,A,1.0,0.455,0.7074,0.457,1.0,0.8189
Q14,Internal Med,What were the key 2-D M-mode and Doppler findings in an echocardi…,PubMedBERT,medical,A,1.0,0.417,0.751,0.457,1.0,0.8189
Q15,Internal Med,Describe the left ventricular findings in a hyperdynamic echocard…,PubMedBERT,medical,A,0.6,0.273,0.6858,0.528,0.906,0.6779
Q16,Internal Med,"In an echo report, what valve abnormalities and pressures were no…",PubMedBERT,medical,A,1.0,0.385,0.7554,0.457,1.0,0.8189
Q17,Internal Med,What normal findings were reported in an echocardiogram with no p…,PubMedBERT,medical,A,1.0,0.417,0.7552,0.457,1.0,0.8189
Q18,Internal Med,For a patient with mild tricuspid regurgitation and right heart p…,PubMedBERT,medical,A,0.8,0.4,0.6468,0.521,1.0,0.7736
Q19,Surgery,What procedure details and anesthesia were used in a liposuction …,PubMedBERT,medical,A,1.0,0.417,0.717,0.457,1.0,0.8189
Q20,Surgery,In a suction-assisted lipectomy for abdominal and thigh lipodystr…,PubMedBERT,medical,A,0.6,0.3,0.586,0.583,0.967,0.7169
Q21,Cross-spec,Compare the ejection fraction and chamber sizes reported across d…,PubMedBERT,medical,A,0.8,0.4,0.4275,0.446,0.905,0.7169
Q22,Cross-spec,"What common comorbidities (asthma, diabetes, sleep apnea) appear …",PubMedBERT,medical,A,1.0,0.385,0.5714,0.457,1.0,0.8189
Q23,Cross-spec,Describe any mention of allergy testing (RAST) or EpiPen prescrip…,PubMedBERT,medical,A,0.6,0.273,0.5781,0.528,0.906,0.6779
Q24,Cross-spec,"What physical exam findings (wheezing, edema, vital signs) were d…",PubMedBERT,medical,A,0.8,0.333,0.5864,0.521,1.0,0.7736
Q25,Cross-spec,"In cases involving anastomosis (gastric bypass or other), what te…",PubMedBERT,medical,A,0.8,0.333,0.5951,0.487,0.956,0.7478
Q01,Allergy/ENT,What treatments were recommended for a patient with allergic rhin…,S-PubMedBERT,medical,A,1.0,0.556,0.9235,0.457,1.0,0.8189
Q02,Allergy/ENT,Describe the physical exam findings in the nose and throat for a …,S-PubMedBERT,medical,A,0.6,0.273,0.9372,0.567,0.947,0.7045
Q03,Allergy/ENT,What nasal spray samples and alternative oral medication were sug…,S-PubMedBERT,medical,A,1.0,0.455,0.9197,0.457,1.0,0.8189
Q04,Allergy/ENT,"For a patient with chronic sinusitis, facial pain, postnasal drip…",S-PubMedBERT,medical,A,1.0,0.455,0.9465,0.457,1.0,0.8189
Q05,Allergy/ENT,What history and recommendations were given for a 55-year-old fem…,S-PubMedBERT,medical,A,0.8,0.333,0.9453,0.487,0.956,0.7478
Q06,Internal Med,"In a case of Kawasaki disease in a 14-month-old, what discharge m…",S-PubMedBERT,medical,A,0.8,0.5,0.944,0.508,0.983,0.7637
Q07,Allergy/ENT,What symptoms and plan were documented for a 42-year-old woman wi…,S-PubMedBERT,medical,A,0.8,0.333,0.9451,0.508,0.983,0.7637
Q08,Surgery,What surgical steps were described in a laparoscopic antecolic an…,S-PubMedBERT,medical,A,1.0,0.417,0.93,0.457,1.0,0.8189
Q09,Surgery,"For a 42-year-old male weighing 344 pounds with BMI 51, sleep apn…",S-PubMedBERT,medical,A,1.0,0.333,0.9538,0.457,1.0,0.8189
Q10,Surgery,Describe the eating history and weight loss attempts of a single …,S-PubMedBERT,medical,A,1.0,0.385,0.9376,0.457,1.0,0.8189
Q11,Surgery,What port placement and bowel division technique was used in a 30…,S-PubMedBERT,medical,A,1.0,0.455,0.9348,0.457,1.0,0.8189
Q12,Surgery,"In a bariatric consult, what family history, social habits, and r…",S-PubMedBERT,medical,A,1.0,0.385,0.9184,0.457,1.0,0.8189
Q13,Surgery,"What complications like anastomotic leak, bleeding, DVT, and bowe…",S-PubMedBERT,medical,A,1.0,0.455,0.9408,0.457,1.0,0.8189
Q14,Internal Med,What were the key 2-D M-mode and Doppler findings in an echocardi…,S-PubMedBERT,medical,A,1.0,0.417,0.9624,0.457,1.0,0.8189
Q15,Internal Med,Describe the left ventricular findings in a hyperdynamic echocard…,S-PubMedBERT,medical,A,1.0,0.455,0.9602,0.457,1.0,0.8189
Q16,Internal Med,"In an echo report, what valve abnormalities and pressures were no…",S-PubMedBERT,medical,A,1.0,0.385,0.953,0.457,1.0,0.8189
Q17,Internal Med,What normal findings were reported in an echocardiogram with no p…,S-PubMedBERT,medical,A,1.0,0.417,0.9604,0.457,1.0,0.8189
Q18,Internal Med,For a patient with mild tricuspid regurgitation and right heart p…,S-PubMedBERT,medical,A,1.0,0.5,0.9498,0.457,1.0,0.8189
Q19,Surgery,What procedure details and anesthesia were used in a liposuction …,S-PubMedBERT,medical,A,1.0,0.417,0.9334,0.457,1.0,0.8189
Q20,Surgery,In a suction-assisted lipectomy for abdominal and thigh lipodystr…,S-PubMedBERT,medical,A,1.0,0.5,0.9397,0.457,1.0,0.8189
Q21,Cross-spec,Compare the ejection fraction and chamber sizes reported across d…,S-PubMedBERT,medical,A,0.8,0.4,0.9411,0.487,0.956,0.7478
Q22,Cross-spec,"What common comorbidities (asthma, diabetes, sleep apnea) appear …",S-PubMedBERT,medical,A,1.0,0.385,0.9318,0.457,1.0,0.8189
Q23,Cross-spec,Describe any mention of allergy testing (RAST) or EpiPen prescrip…,S-PubMedBERT,medical,A,0.4,0.182,0.9213,0.75,1.0,0.7167
Q24,Cross-spec,"What physical exam findings (wheezing, edema, vital signs) were d…",S-PubMedBERT,medical,A,0.6,0.25,0.9277,0.567,0.947,0.7045
Q25,Cross-spec,"In cases involving anastomosis (gastric bypass or other), what te…",S-PubMedBERT,medical,A,0.8,0.333,0.9269,0.521,1.0,0.7736
Q01,Allergy/ENT,What treatments were recommended for a patient with allergic rhin…,MedEmbed-L,medical,A,1.0,0.556,0.712,0.457,1.0,0.8189
Q02,Allergy/ENT,Describe the physical exam findings in the nose and throat for a …,MedEmbed-L,medical,A,0.8,0.364,0.7671,0.487,0.956,0.7478
Q03,Allergy/ENT,What nasal spray samples and alternative oral medication were sug…,MedEmbed-L,medical,A,1.0,0.455,0.6838,0.457,1.0,0.8189
Q04,Allergy/ENT,"For a patient with chronic sinusitis, facial pain, postnasal drip…",MedEmbed-L,medical,A,0.8,0.364,0.7084,0.521,1.0,0.7736
Q05,Allergy/ENT,What history and recommendations were given for a 55-year-old fem…,MedEmbed-L,medical,A,1.0,0.417,0.7445,0.457,1.0,0.8189
Q06,Internal Med,"In a case of Kawasaki disease in a 14-month-old, what discharge m…",MedEmbed-L,medical,A,1.0,0.625,0.7404,0.457,1.0,0.8189
Q07,Allergy/ENT,What symptoms and plan were documented for a 42-year-old woman wi…,MedEmbed-L,medical,A,0.8,0.333,0.7538,0.446,0.905,0.7169
Q08,Surgery,What surgical steps were described in a laparoscopic antecolic an…,MedEmbed-L,medical,A,1.0,0.417,0.7567,0.457,1.0,0.8189
Q09,Surgery,"For a 42-year-old male weighing 344 pounds with BMI 51, sleep apn…",MedEmbed-L,medical,A,1.0,0.333,0.7374,0.457,1.0,0.8189
Q10,Surgery,Describe the eating history and weight loss attempts of a single …,MedEmbed-L,medical,A,1.0,0.385,0.7689,0.457,1.0,0.8189
Q11,Surgery,What port placement and bowel division technique was used in a 30…,MedEmbed-L,medical,A,0.8,0.364,0.7175,0.446,0.905,0.7169
Q12,Surgery,"In a bariatric consult, what family history, social habits, and r…",MedEmbed-L,medical,A,1.0,0.385,0.706,0.457,1.0,0.8189
Q13,Surgery,"What complications like anastomotic leak, bleeding, DVT, and bowe…",MedEmbed-L,medical,A,1.0,0.455,0.7431,0.457,1.0,0.8189
Q14,Internal Med,What were the key 2-D M-mode and Doppler findings in an echocardi…,MedEmbed-L,medical,A,1.0,0.417,0.7556,0.457,1.0,0.8189
Q15,Internal Med,Describe the left ventricular findings in a hyperdynamic echocard…,MedEmbed-L,medical,A,1.0,0.455,0.7472,0.457,1.0,0.8189
Q16,Internal Med,"In an echo report, what valve abnormalities and pressures were no…",MedEmbed-L,medical,A,1.0,0.385,0.7506,0.457,1.0,0.8189
Q17,Internal Med,What normal findings were reported in an echocardiogram with no p…,MedEmbed-L,medical,A,1.0,0.417,0.7851,0.457,1.0,0.8189
Q18,Internal Med,For a patient with mild tricuspid regurgitation and right heart p…,MedEmbed-L,medical,A,1.0,0.5,0.759,0.457,1.0,0.8189
Q19,Surgery,What procedure details and anesthesia were used in a liposuction …,MedEmbed-L,medical,A,1.0,0.417,0.7539,0.457,1.0,0.8189
Q20,Surgery,In a suction-assisted lipectomy for abdominal and thigh lipodystr…,MedEmbed-L,medical,A,0.6,0.3,0.7343,0.611,1.0,0.737
Q21,Cross-spec,Compare the ejection fraction and chamber sizes reported across d…,MedEmbed-L,medical,A,0.8,0.4,0.703,0.321,0.761,0.6272
Q22,Cross-spec,"What common comorbidities (asthma, diabetes, sleep apnea) appear …",MedEmbed-L,medical,A,1.0,0.385,0.6786,0.457,1.0,0.8189
Q23,Cross-spec,Describe any mention of allergy testing (RAST) or EpiPen prescrip…,MedEmbed-L,medical,A,0.6,0.273,0.7147,0.483,0.853,0.6454
Q24,Cross-spec,"What physical exam findings (wheezing, edema, vital signs) were d…",MedEmbed-L,medical,A,0.8,0.333,0.716,0.446,0.905,0.7169
Q25,Cross-spec,"In cases involving anastomosis (gastric bypass or other), what te…",MedEmbed-L,medical,A,0.6,0.25,0.7169,0.528,0.906,0.6779
